job_id,job_title,salary_usd,salary_currency,salary_local,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00012,Deep Learning Engineer,76559,USD,76559,EN,FL,United States,S,United States,100,"Data Visualization, Mathematics, PyTorch, GCP",Bachelor,1,Government,2025-02-09,2025-04-14,694,8.3,Machine Intelligence Group
AI00013,Principal Data Scientist,185834,USD,185834,EX,CT,United States,L,United States,100,"Linux, Data Visualization, Python, TensorFlow",Associate,14,Telecommunications,2024-03-27,2024-06-03,1710,8.9,Autonomous Tech
AI00014,Principal Data Scientist,89801,USD,89801,MI,PT,Sweden,M,Belgium,100,"Linux, MLOps, Deep Learning",Master,3,Healthcare,2024-10-30,2025-01-06,1361,8.7,Cloud AI Solutions
AI00015,Principal Data Scientist,252601,USD,252601,EX,PT,Norway,L,Norway,100,"Kubernetes, SQL, AWS, Git, Computer Vision",Master,19,Gaming,2024-07-24,2024-08-14,572,5.1,TechCorp Inc
AI00016,AI Product Manager,20520,USD,20520,EN,FT,India,S,India,0,"Hadoop, Git, Computer Vision, Kubernetes, Data Visualization",Master,0,Gaming,2024-08-22,2024-10-05,2455,7.5,Predictive Systems
AI00017,Robotics Engineer,192789,CHF,173510,SE,PT,Switzerland,S,Switzerland,100,"Tableau, Git, Python, Java",Master,5,Healthcare,2024-03-27,2024-06-08,524,5.9,Quantum Computing Inc
AI00018,Machine Learning Researcher,107184,SGD,139339,SE,FL,Singapore,S,Singapore,50,"Azure, GCP, Computer Vision",Master,7,Automotive,2024-05-07,2024-05-28,2111,9.2,DeepTech Ventures
AI00019,Robotics Engineer,141909,EUR,120623,SE,FT,Netherlands,M,Netherlands,0,"Git, Kubernetes, MLOps, Spark",Associate,6,Healthcare,2024-12-22,2025-01-20,1601,7.8,Cloud AI Solutions
AI00020,Data Engineer,118238,USD,118238,SE,FL,Ireland,M,Ireland,100,"AWS, Python, Azure, SQL, Computer Vision",Associate,7,Education,2024-11-07,2025-01-02,2431,8.2,TechCorp Inc
AI00021,Data Scientist,155210,AUD,209534,SE,PT,Australia,L,Argentina,0,"Spark, NLP, AWS",Master,7,Energy,2025-01-24,2025-03-18,595,9.7,Neural Networks Co
AI00022,Data Engineer,96699,AUD,130544,SE,FT,Australia,S,Australia,0,"GCP, Linux, Mathematics",PhD,5,Technology,2025-03-29,2025-04-13,582,9.7,TechCorp Inc
AI00023,AI Software Engineer,161477,EUR,137255,SE,FT,France,L,France,50,"Mathematics, Spark, Linux",Bachelor,8,Real Estate,2025-02-04,2025-03-03,1861,9.5,DataVision Ltd
AI00024,AI Software Engineer,316709,USD,316709,EX,CT,Denmark,L,Denmark,50,"Data Visualization, Azure, Statistics",PhD,18,Transportation,2025-04-29,2025-06-21,1284,7.6,Autonomous Tech
AI00025,ML Ops Engineer,62089,CAD,77611,MI,CT,Canada,S,Singapore,50,"Python, GCP, Linux, SQL, Deep Learning",PhD,3,Media,2024-03-18,2024-04-25,2264,9.7,Predictive Systems
AI00026,Principal Data Scientist,77985,USD,77985,EN,CT,Denmark,S,Denmark,0,"SQL, TensorFlow, Computer Vision, Kubernetes",Associate,0,Automotive,2025-03-07,2025-04-03,655,9.4,Neural Networks Co
AI00027,Robotics Engineer,55315,EUR,47018,EN,PT,Austria,S,Austria,0,"Spark, Deep Learning, SQL, NLP, Python",PhD,0,Media,2025-01-09,2025-03-22,1107,9.5,Future Systems
AI00028,AI Architect,246647,SGD,320641,EX,PT,Singapore,M,Singapore,50,"Scala, Mathematics, SQL",Master,16,Telecommunications,2024-08-08,2024-08-26,2347,6.6,DeepTech Ventures
AI00029,Deep Learning Engineer,29050,USD,29050,EN,FT,China,S,Germany,0,"PyTorch, Kubernetes, Deep Learning, Hadoop",Associate,1,Consulting,2025-02-06,2025-03-19,555,5.2,AI Innovations
AI00030,Head of AI,120599,GBP,90449,MI,CT,United Kingdom,L,United Kingdom,50,"Linux, AWS, Python",Master,4,Energy,2024-09-21,2024-11-07,699,6.4,Quantum Computing Inc
AI00031,AI Specialist,277727,SGD,361045,EX,PT,Singapore,L,Singapore,50,"Python, Git, TensorFlow",Associate,13,Healthcare,2024-10-04,2024-11-05,529,9,Future Systems
AI00032,Data Engineer,158734,CAD,198418,EX,PT,Canada,S,South Korea,50,"Data Visualization, NLP, Computer Vision",Master,16,Retail,2024-05-20,2024-07-29,1607,6.2,Future Systems
AI00033,Data Engineer,139438,JPY,15338180,SE,FL,Japan,L,Japan,0,"Python, Spark, Git, Data Visualization, Docker",PhD,9,Retail,2025-03-16,2025-05-12,1826,9.9,Cognitive Computing
AI00034,Head of AI,131432,SGD,170862,SE,PT,Singapore,M,Sweden,50,"Kubernetes, Data Visualization, Deep Learning, Azure, Computer Vision",Master,5,Manufacturing,2024-05-03,2024-07-15,1134,5.3,Cognitive Computing
AI00035,Data Analyst,140290,USD,140290,MI,PT,Denmark,L,Denmark,50,"PyTorch, SQL, R, Azure",Associate,4,Real Estate,2024-07-18,2024-09-26,2437,5.7,DeepTech Ventures
AI00036,Research Scientist,90858,EUR,77229,MI,CT,France,L,France,50,"Scala, PyTorch, Deep Learning, Kubernetes, Java",Bachelor,2,Real Estate,2024-08-13,2024-09-13,1793,7.1,DataVision Ltd
AI00037,Autonomous Systems Engineer,126597,GBP,94948,SE,FL,United Kingdom,L,Singapore,50,"PyTorch, Java, TensorFlow, Computer Vision, SQL",Master,6,Government,2024-03-30,2024-04-13,2236,7.8,Machine Intelligence Group
AI00038,AI Architect,53274,USD,53274,EN,FL,Finland,M,Finland,100,"Spark, Python, Statistics, Hadoop, TensorFlow",Associate,0,Automotive,2025-03-22,2025-04-12,1444,6,Autonomous Tech
AI00039,Machine Learning Researcher,155357,USD,155357,EX,FL,Sweden,S,France,100,"TensorFlow, SQL, Computer Vision, Kubernetes",Bachelor,17,Real Estate,2024-12-11,2025-01-01,830,5.2,Cloud AI Solutions
AI00040,Principal Data Scientist,116292,EUR,98848,MI,FL,Netherlands,M,Hungary,50,"Java, Docker, Python",Bachelor,4,Gaming,2024-07-28,2024-09-06,2404,7.9,Quantum Computing Inc
AI00041,Computer Vision Engineer,140363,EUR,119309,SE,CT,Austria,L,Austria,100,"MLOps, Hadoop, TensorFlow, Kubernetes",Master,6,Manufacturing,2025-01-31,2025-04-06,1852,9.8,TechCorp Inc
AI00042,Research Scientist,162306,USD,162306,SE,CT,Israel,L,Luxembourg,0,"Statistics, SQL, Tableau, Hadoop, R",Master,9,Energy,2024-11-12,2024-12-08,1066,5.6,Neural Networks Co
AI00043,Data Analyst,134224,USD,134224,EX,FT,China,L,China,0,"Python, SQL, Git",Master,16,Technology,2024-10-13,2024-11-15,1743,6.6,Quantum Computing Inc
AI00044,Research Scientist,77500,GBP,58125,MI,CT,United Kingdom,S,Norway,0,"Mathematics, Hadoop, TensorFlow",PhD,3,Technology,2024-08-20,2024-10-29,811,10,Machine Intelligence Group
AI00045,Computer Vision Engineer,154083,USD,154083,SE,PT,Ireland,L,Ireland,50,"Hadoop, Python, Deep Learning",Associate,7,Manufacturing,2024-01-09,2024-02-16,1969,7.7,Neural Networks Co
AI00046,Machine Learning Engineer,79445,USD,79445,MI,FL,Ireland,M,Ireland,50,"Python, Statistics, TensorFlow, Computer Vision",Bachelor,4,Real Estate,2024-09-28,2024-10-16,511,7.2,Cloud AI Solutions
AI00047,Head of AI,157466,CHF,141719,SE,FL,Switzerland,M,Switzerland,100,"Git, Data Visualization, Spark, Computer Vision, Azure",Associate,8,Automotive,2024-01-21,2024-03-03,547,5.2,Future Systems
AI00048,Head of AI,38972,USD,38972,MI,FT,India,L,India,0,"Kubernetes, Mathematics, TensorFlow, MLOps",PhD,4,Real Estate,2024-01-28,2024-03-09,2163,7.1,AI Innovations
AI00049,Deep Learning Engineer,66090,CAD,82613,MI,PT,Canada,S,Canada,0,"AWS, SQL, R, Scala",PhD,3,Technology,2025-04-10,2025-04-29,1901,5.3,DeepTech Ventures
AI00050,Data Analyst,47943,USD,47943,MI,PT,China,L,China,50,"TensorFlow, Mathematics, NLP, Docker",PhD,2,Finance,2024-11-23,2025-01-13,2483,6.2,Smart Analytics
AI00051,ML Ops Engineer,217318,USD,217318,EX,PT,Ireland,M,Malaysia,100,"SQL, PyTorch, Hadoop",Bachelor,17,Finance,2024-11-14,2024-12-22,1647,7.8,Cognitive Computing
AI00052,AI Architect,84705,USD,84705,MI,CT,Norway,S,Norway,50,"Scala, Spark, PyTorch",PhD,3,Government,2024-12-19,2025-01-11,879,6.6,Autonomous Tech
AI00053,NLP Engineer,36076,USD,36076,SE,FT,India,M,India,50,"Python, TensorFlow, Data Visualization",Master,7,Media,2024-08-14,2024-09-23,580,7.5,Cognitive Computing
AI00054,AI Consultant,160216,USD,160216,EX,FT,Israel,L,Israel,100,"Deep Learning, Linux, Python, SQL",Master,15,Education,2024-05-09,2024-05-29,941,6,Predictive Systems
AI00055,Deep Learning Engineer,60826,GBP,45620,EN,FT,United Kingdom,S,United Kingdom,0,"SQL, Kubernetes, Azure",Bachelor,0,Energy,2024-11-02,2024-11-30,1731,6.3,Autonomous Tech
AI00056,Deep Learning Engineer,237320,GBP,177990,EX,PT,United Kingdom,M,United Kingdom,0,"Kubernetes, MLOps, Scala",Bachelor,16,Real Estate,2024-11-12,2024-12-28,991,7.7,DataVision Ltd
AI00057,Robotics Engineer,60243,EUR,51207,EN,FL,France,M,France,100,"Scala, PyTorch, Data Visualization, Linux, Mathematics",Master,1,Healthcare,2024-12-05,2024-12-20,1661,8.8,Future Systems
AI00058,Head of AI,74091,JPY,8150010,EN,PT,Japan,M,Japan,50,"Deep Learning, NLP, R, Linux, SQL",Bachelor,1,Consulting,2025-01-18,2025-03-23,1295,7.2,Quantum Computing Inc
AI00059,AI Specialist,68535,EUR,58255,EN,FT,France,L,France,100,"SQL, Scala, PyTorch",Associate,1,Media,2024-05-01,2024-06-17,1943,5.5,Machine Intelligence Group
AI00060,Robotics Engineer,99401,USD,99401,MI,FL,Norway,S,Norway,50,"Hadoop, Kubernetes, Data Visualization, Python, Linux",Bachelor,3,Healthcare,2024-03-20,2024-04-20,1371,9.4,Quantum Computing Inc
AI00061,Machine Learning Researcher,67632,USD,67632,EN,FT,Ireland,L,Ireland,0,"Linux, GCP, Deep Learning",Master,0,Government,2024-07-13,2024-08-10,2133,8.9,Advanced Robotics
AI00062,ML Ops Engineer,133163,EUR,113189,SE,CT,Netherlands,M,Netherlands,0,"SQL, Statistics, MLOps, PyTorch, Kubernetes",Associate,6,Media,2025-01-03,2025-01-21,2141,7.9,Neural Networks Co
AI00063,Robotics Engineer,125752,USD,125752,MI,FT,Norway,S,Norway,0,"NLP, Statistics, Scala",Master,4,Automotive,2024-05-17,2024-06-24,2390,6,Machine Intelligence Group
AI00064,AI Product Manager,70927,JPY,7801970,EN,CT,Japan,M,Japan,0,"Git, Computer Vision, Docker, SQL, Hadoop",Associate,1,Technology,2024-03-07,2024-04-05,1847,9.3,Quantum Computing Inc
AI00065,Data Engineer,80810,GBP,60608,EN,PT,United Kingdom,L,United Kingdom,0,"Azure, MLOps, Python, Linux, TensorFlow",Master,1,Energy,2024-10-30,2025-01-01,1476,5.4,Algorithmic Solutions
AI00066,Machine Learning Engineer,59614,SGD,77498,EN,CT,Singapore,S,Singapore,100,"Java, Kubernetes, GCP, Linux, Data Visualization",Associate,1,Healthcare,2024-11-07,2024-12-19,1581,7.3,Quantum Computing Inc
AI00067,Robotics Engineer,151907,EUR,129121,EX,FT,Germany,S,Ghana,50,"Python, R, MLOps",Associate,16,Media,2024-09-21,2024-10-16,1433,6.1,Quantum Computing Inc
AI00068,Data Scientist,76317,USD,76317,EX,CT,India,M,India,0,"TensorFlow, Deep Learning, Spark",Bachelor,14,Energy,2024-06-19,2024-07-15,1228,9.1,DataVision Ltd
AI00069,AI Research Scientist,160534,USD,160534,SE,FL,Denmark,M,Denmark,100,"GCP, SQL, MLOps",Master,9,Gaming,2024-06-10,2024-07-07,1651,8.3,Advanced Robotics
AI00070,AI Consultant,40687,USD,40687,MI,FT,India,L,India,50,"SQL, R, GCP, PyTorch, AWS",Master,3,Transportation,2024-07-16,2024-08-25,804,7.3,Algorithmic Solutions
AI00071,Computer Vision Engineer,129265,AUD,174508,SE,FL,Australia,S,Australia,0,"Java, Scala, TensorFlow",Master,5,Consulting,2025-04-06,2025-05-07,2410,6.9,DataVision Ltd
AI00072,NLP Engineer,94396,USD,94396,EX,PT,China,M,China,100,"Scala, Python, Tableau, Mathematics",Master,18,Government,2024-07-30,2024-08-18,1033,9.5,Advanced Robotics
AI00073,NLP Engineer,158237,USD,158237,EX,CT,South Korea,L,South Korea,0,"Python, NLP, GCP",Master,11,Finance,2025-01-24,2025-03-29,1676,6,Quantum Computing Inc
AI00074,Robotics Engineer,239068,USD,239068,EX,PT,Denmark,L,Denmark,50,"TensorFlow, Java, NLP, Hadoop, GCP",PhD,18,Media,2024-08-26,2024-10-30,1321,6.8,Autonomous Tech
AI00075,Robotics Engineer,81401,USD,81401,MI,FL,Finland,M,Belgium,0,"Java, Spark, Data Visualization, AWS, Git",Associate,2,Retail,2025-02-07,2025-04-11,1930,6.3,Future Systems
AI00076,AI Specialist,144229,CHF,129806,MI,FT,Switzerland,M,Japan,0,"Python, TensorFlow, MLOps, PyTorch",PhD,2,Media,2024-01-02,2024-03-02,1213,9.5,DeepTech Ventures
AI00077,AI Consultant,78936,EUR,67096,MI,FL,Germany,S,Germany,0,"Mathematics, Tableau, R, NLP, SQL",Bachelor,4,Consulting,2024-11-30,2025-01-03,697,6.9,Cloud AI Solutions
AI00078,AI Consultant,101054,USD,101054,SE,PT,South Korea,L,United Kingdom,0,"PyTorch, Python, TensorFlow",Bachelor,6,Healthcare,2025-02-04,2025-03-20,2396,8.8,DeepTech Ventures
AI00079,AI Specialist,91807,EUR,78036,SE,FT,Austria,S,Austria,50,"Linux, Azure, Scala, Python",Master,9,Education,2024-07-21,2024-09-13,1519,8.3,TechCorp Inc
AI00080,Machine Learning Engineer,49858,EUR,42379,EN,CT,Austria,S,Singapore,100,"PyTorch, Spark, Linux",Bachelor,1,Healthcare,2024-01-25,2024-04-02,1215,9.2,AI Innovations
AI00081,Robotics Engineer,80596,EUR,68507,EN,FT,Austria,L,Switzerland,0,"Kubernetes, Scala, PyTorch, Mathematics",Master,1,Education,2024-06-27,2024-08-26,1512,6.8,Digital Transformation LLC
AI00082,Head of AI,76026,USD,76026,MI,FT,Sweden,M,Sweden,50,"Tableau, SQL, R, Scala",PhD,4,Healthcare,2025-02-12,2025-03-24,1079,8,Predictive Systems
AI00083,Deep Learning Engineer,84841,USD,84841,MI,CT,Sweden,L,Sweden,0,"Azure, Linux, TensorFlow, GCP",Associate,4,Transportation,2024-11-18,2025-01-05,2456,5.7,Cognitive Computing
AI00084,Data Scientist,158900,CHF,143010,SE,FL,Switzerland,M,Switzerland,50,"Python, Statistics, Mathematics, Docker, TensorFlow",Associate,8,Finance,2024-06-14,2024-07-05,2367,6,Quantum Computing Inc
AI00085,Autonomous Systems Engineer,153858,EUR,130779,EX,CT,Germany,S,Germany,50,"MLOps, Azure, Java",Master,13,Gaming,2025-04-29,2025-06-21,2133,5.1,Cloud AI Solutions
AI00086,Data Scientist,115314,USD,115314,MI,CT,Denmark,M,Finland,0,"Java, Git, R, Azure",Bachelor,3,Real Estate,2024-06-01,2024-06-27,1783,7.9,Smart Analytics
AI00087,Machine Learning Engineer,181068,USD,181068,EX,FT,Israel,S,Israel,100,"R, Java, Hadoop, Mathematics",PhD,13,Transportation,2024-01-26,2024-03-25,1322,8.5,Machine Intelligence Group
AI00088,AI Software Engineer,119021,USD,119021,EN,FT,Denmark,L,Portugal,0,"Computer Vision, Docker, Linux, GCP",PhD,1,Transportation,2025-03-07,2025-05-10,1461,7.3,DataVision Ltd
AI00089,Data Analyst,219746,USD,219746,EX,FL,Israel,M,Czech Republic,100,"R, Python, Scala, TensorFlow",PhD,15,Finance,2024-07-02,2024-09-12,1485,7,Smart Analytics
AI00090,AI Consultant,115774,USD,115774,EX,FL,China,L,China,50,"Hadoop, Scala, NLP, PyTorch, SQL",Associate,10,Real Estate,2024-02-04,2024-03-09,1618,5.3,DataVision Ltd
AI00091,AI Consultant,130984,CHF,117886,EN,PT,Switzerland,L,Philippines,50,"MLOps, Deep Learning, Kubernetes, Azure, GCP",Bachelor,1,Retail,2024-01-08,2024-03-20,1774,5.3,DataVision Ltd
AI00092,ML Ops Engineer,191223,CHF,172101,EX,FT,Switzerland,S,Germany,0,"NLP, Azure, SQL",PhD,18,Healthcare,2024-04-07,2024-06-07,1926,6.8,Neural Networks Co
AI00093,AI Consultant,155502,USD,155502,SE,FT,Norway,M,Italy,50,"Python, NLP, AWS, Spark",PhD,9,Consulting,2025-01-29,2025-02-22,2449,7.6,Future Systems
AI00094,AI Specialist,86140,EUR,73219,MI,PT,Germany,L,South Korea,50,"Scala, Kubernetes, Deep Learning, AWS",Master,4,Real Estate,2025-03-11,2025-04-12,1816,7.3,Predictive Systems
AI00095,AI Architect,96028,GBP,72021,MI,FL,United Kingdom,L,Australia,0,"Data Visualization, MLOps, GCP, PyTorch",Bachelor,4,Healthcare,2025-03-09,2025-03-28,1878,6.6,Future Systems
AI00096,Principal Data Scientist,134920,USD,134920,SE,PT,United States,S,United States,0,"SQL, Mathematics, Data Visualization, Kubernetes",Associate,7,Consulting,2025-04-03,2025-05-12,1930,6.7,Predictive Systems
AI00097,Research Scientist,107694,USD,107694,SE,FL,Ireland,M,Estonia,50,"Spark, Linux, MLOps, R",Associate,5,Retail,2024-03-20,2024-04-22,2292,5.1,Future Systems
AI00098,Deep Learning Engineer,114301,USD,114301,MI,FT,Finland,L,Finland,0,"Tableau, MLOps, Python",Bachelor,4,Real Estate,2025-02-08,2025-03-05,1506,7.5,Digital Transformation LLC
AI00099,Machine Learning Researcher,92728,GBP,69546,MI,FT,United Kingdom,L,United Kingdom,0,"NLP, Git, Kubernetes, Azure",Bachelor,4,Transportation,2024-12-25,2025-02-05,1948,9.3,Cognitive Computing
AI00100,NLP Engineer,76826,SGD,99874,EN,PT,Singapore,M,Singapore,50,"Git, R, Statistics, PyTorch, Deep Learning",Bachelor,1,Government,2025-04-08,2025-05-10,804,7.4,Predictive Systems
AI00101,AI Consultant,48870,USD,48870,SE,PT,India,L,India,0,"Hadoop, Java, Azure, Spark, Statistics",Associate,7,Healthcare,2025-03-26,2025-05-16,1108,5.6,Cognitive Computing
AI00102,Data Scientist,89527,AUD,120861,MI,FT,Australia,L,United States,50,"Linux, Azure, SQL, R, Java",Master,4,Finance,2024-12-09,2024-12-30,1299,5.8,Predictive Systems
AI00103,Autonomous Systems Engineer,81103,AUD,109489,EN,CT,Australia,L,Australia,0,"Mathematics, SQL, Kubernetes",Master,0,Media,2024-05-26,2024-08-07,2055,7,Digital Transformation LLC
AI00104,Machine Learning Engineer,283428,USD,283428,EX,CT,Denmark,L,Denmark,0,"Python, TensorFlow, MLOps, Data Visualization",Associate,13,Healthcare,2025-03-10,2025-05-11,1275,5.1,Smart Analytics
AI00105,AI Product Manager,104906,USD,104906,MI,FL,United States,S,Portugal,50,"PyTorch, Java, Spark, Statistics",Bachelor,3,Technology,2025-01-26,2025-03-28,2101,8,Cognitive Computing
AI00106,AI Software Engineer,231496,USD,231496,EX,PT,Finland,L,Finland,50,"Tableau, R, Kubernetes",Master,18,Automotive,2025-02-13,2025-04-10,895,5.5,DataVision Ltd
AI00107,Robotics Engineer,147402,JPY,16214220,SE,FT,Japan,L,Japan,100,"Azure, GCP, Scala, R, Python",Bachelor,8,Automotive,2024-12-11,2025-02-01,593,7,Algorithmic Solutions
AI00108,Data Scientist,69331,EUR,58931,EN,FT,Austria,L,Austria,100,"AWS, Git, NLP, Java, Computer Vision",Master,1,Healthcare,2025-04-11,2025-05-21,639,8.8,AI Innovations
AI00109,AI Consultant,215842,EUR,183466,EX,CT,France,S,France,0,"Deep Learning, TensorFlow, Spark, Python",Bachelor,12,Healthcare,2024-12-19,2025-01-28,2098,6.7,Machine Intelligence Group
AI00110,Data Scientist,79833,USD,79833,SE,PT,South Korea,S,South Korea,0,"Java, SQL, PyTorch, TensorFlow, AWS",PhD,6,Healthcare,2024-01-04,2024-01-18,1284,5.7,Predictive Systems
AI00111,Data Scientist,304859,USD,304859,EX,FT,Norway,L,Norway,100,"Linux, SQL, Mathematics",Bachelor,15,Media,2025-03-22,2025-05-05,2460,6,Advanced Robotics
AI00112,Research Scientist,112217,EUR,95384,SE,CT,Germany,S,Israel,0,"Spark, Scala, Azure",Associate,8,Technology,2025-03-07,2025-04-23,1679,10,Digital Transformation LLC
AI00113,Head of AI,45738,USD,45738,EN,FL,South Korea,M,South Korea,100,"TensorFlow, Hadoop, Spark",Associate,0,Manufacturing,2024-03-17,2024-04-05,1481,9.5,DeepTech Ventures
AI00114,Machine Learning Researcher,195309,EUR,166013,EX,PT,Germany,S,Germany,50,"SQL, Tableau, PyTorch, NLP",Bachelor,18,Consulting,2024-12-14,2025-02-23,1277,5.3,DeepTech Ventures
AI00115,Data Scientist,141439,USD,141439,SE,FL,United States,L,United States,50,"Kubernetes, GCP, Git, SQL",PhD,9,Retail,2024-06-24,2024-07-13,1021,6.3,Digital Transformation LLC
AI00116,AI Consultant,125836,USD,125836,MI,FT,Norway,L,Norway,100,"Statistics, Kubernetes, Spark, GCP",Master,2,Transportation,2024-12-27,2025-02-22,1650,10,Predictive Systems
AI00117,Machine Learning Researcher,58213,USD,58213,EN,FT,Israel,S,Thailand,50,"Azure, Linux, Kubernetes",PhD,0,Telecommunications,2025-04-13,2025-06-08,1087,5.5,Cloud AI Solutions
AI00118,ML Ops Engineer,82191,EUR,69862,MI,CT,Germany,M,Germany,0,"Spark, GCP, Hadoop",Bachelor,2,Media,2024-08-05,2024-10-16,1906,9.5,Quantum Computing Inc
AI00119,Machine Learning Researcher,207975,AUD,280766,EX,CT,Australia,S,Colombia,0,"SQL, Azure, Computer Vision",Master,13,Telecommunications,2025-02-21,2025-04-07,1475,9.9,Future Systems
AI00120,Computer Vision Engineer,115664,USD,115664,SE,PT,Ireland,M,Ireland,0,"TensorFlow, R, Data Visualization",Bachelor,7,Automotive,2024-03-27,2024-05-15,1449,7.8,Smart Analytics
AI00121,AI Software Engineer,109337,USD,109337,SE,PT,Ireland,M,Ireland,50,"Data Visualization, PyTorch, Python, Mathematics, Git",Associate,9,Government,2025-04-26,2025-05-13,901,8.1,Predictive Systems
AI00122,Data Analyst,115386,USD,115386,SE,PT,Finland,M,Finland,100,"MLOps, Statistics, Hadoop, SQL",Associate,7,Energy,2024-09-02,2024-11-03,2387,6.7,Smart Analytics
AI00123,Autonomous Systems Engineer,64431,GBP,48323,EN,FT,United Kingdom,L,United Kingdom,50,"Git, Deep Learning, Python, Statistics, TensorFlow",Bachelor,1,Automotive,2025-01-25,2025-02-25,825,9,DeepTech Ventures
AI00124,Data Engineer,108088,USD,108088,SE,FL,United States,S,United States,100,"Tableau, Python, Docker, Azure",Bachelor,9,Consulting,2024-10-07,2024-12-15,1769,8,Smart Analytics
AI00125,ML Ops Engineer,228314,GBP,171236,EX,FT,United Kingdom,L,United Kingdom,50,"Java, Hadoop, SQL, Statistics, TensorFlow",Master,16,Telecommunications,2024-10-18,2024-12-04,1005,6.5,Cognitive Computing
AI00126,Data Scientist,153260,AUD,206901,SE,CT,Australia,L,Australia,0,"MLOps, Java, NLP",Master,9,Education,2025-04-02,2025-05-04,1768,9.7,DataVision Ltd
AI00127,Data Scientist,63667,USD,63667,MI,CT,Israel,S,Norway,100,"R, Data Visualization, SQL, NLP",PhD,4,Energy,2025-03-20,2025-05-12,1336,7.9,Algorithmic Solutions
AI00128,Research Scientist,31185,USD,31185,MI,FL,China,S,Colombia,100,"AWS, GCP, NLP, SQL, Statistics",Associate,3,Healthcare,2025-03-11,2025-04-07,1510,9.2,Neural Networks Co
AI00129,Machine Learning Engineer,132167,EUR,112342,SE,PT,Germany,M,Germany,50,"MLOps, Docker, Linux, Computer Vision",Bachelor,9,Education,2024-08-04,2024-10-12,1110,6.2,Quantum Computing Inc
AI00130,AI Research Scientist,223349,JPY,24568390,EX,FL,Japan,L,Japan,100,"PyTorch, Mathematics, TensorFlow",Bachelor,11,Gaming,2024-07-31,2024-09-27,1489,5.9,Smart Analytics
AI00131,AI Architect,26957,USD,26957,EN,CT,India,M,India,100,"Azure, Computer Vision, Statistics",Bachelor,1,Transportation,2025-03-23,2025-04-17,2335,9.5,DataVision Ltd
AI00132,AI Software Engineer,93564,USD,93564,MI,CT,Sweden,S,Sweden,0,"PyTorch, Docker, Data Visualization, Scala, Computer Vision",Associate,2,Transportation,2025-03-25,2025-04-13,515,9.7,Advanced Robotics
AI00133,Computer Vision Engineer,113846,EUR,96769,SE,PT,France,S,France,100,"SQL, Git, R, Hadoop, Docker",Associate,6,Energy,2024-09-02,2024-10-30,2447,7.8,DataVision Ltd
AI00134,AI Specialist,147580,EUR,125443,EX,FL,France,M,France,0,"Linux, Deep Learning, Hadoop, Kubernetes, Docker",PhD,17,Telecommunications,2024-11-13,2025-01-10,2416,5.9,Cloud AI Solutions
